Ni,Cr,Nb,Mo,Ti,Al,C,Co,Fe,W,Si,Solution temperature,Solution time,Aging processing,Strain rate,Plastic strain,Stress ratio,Experimental temperature,Fatigue life
52.82,18.96,5.23,3.02,1,0.59,0.03,0.03,18.32,0,0,650,1,2,0.300 ,0.0021 ,-1.0 ,650,53211
52.82,18.96,5.23,3.02,1,0.59,0.03,0.03,18.32,0,0,650,1,4,0.400 ,0.0187 ,-1.0 ,650,4968
52.82,18.96,5.23,3.02,1,0.59,0.03,0.03,18.32,0,0,650,1,6,0.500 ,0.0381 ,-1.0 ,650,2287
52.82,18.96,5.23,3.02,1,0.59,0.03,0.03,18.32,0,0,650,1,8,0.700 ,0.1386 ,-1.0 ,650,556
52.82,18.96,5.23,3.02,1,0.59,0.03,0.03,18.32,0,0,650,1,10,0.900 ,0.3020 ,-1.0 ,650,236
53.5,17.91,5.22,3.01,1.02,0.54,0,0,18.8,0,0,980,1,8,0.420 ,0.0680 ,-1.0 ,650,48745
53.5,17.91,5.22,3.01,1.02,0.54,0,0,18.8,0,0,980,1,8,0.430 ,0.0780 ,-1.0 ,650,50900
53.5,17.91,5.22,3.01,1.02,0.54,0,0,18.8,0,0,980,1,8,0.450 ,0.0870 ,-1.0 ,650,35940
53.5,17.91,5.22,3.01,1.02,0.54,0,0,18.8,0,0,980,1,8,0.470 ,0.0930 ,-1.0 ,650,12950
53.5,17.91,5.22,3.01,1.02,0.54,0,0,18.8,0,0,980,1,8,0.500 ,0.1400 ,-1.0 ,650,4000
53.5,17.91,5.22,3.01,1.02,0.54,0,0,18.8,0,0,980,1,8,0.500 ,0.1200 ,-1.0 ,650,6300
75.736,14.5,2.02,3.18,2.68,1.7,0.042,0.042,0.1,0,0,1100,8,36,0.300 ,0.0030 ,-1.0 ,650,52032
75.736,14.5,2.02,3.18,2.68,1.7,0.042,0.042,0.1,0,0,1100,8,36,0.400 ,0.0120 ,-1.0 ,650,8114
75.736,14.5,2.02,3.18,2.68,1.7,0.042,0.042,0.1,0,0,1100,8,36,0.500 ,0.0860 ,-1.0 ,650,1680
75.736,14.5,2.02,3.18,2.68,1.7,0.042,0.042,0.1,0,0,1100,8,36,0.600 ,0.1270 ,-1.0 ,650,788
